file.num,file,sex,age,humidity,rec.time,temp,time.stamp,code,event,state,state.event,strike,pred.state,chasing,predator,date
4,10_26_12_a1f.csv,female,4,45,937,23,446507,y,ab_lift,run,ab_lift,0,0,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,449163,g,0,groom,groom,0,0,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,530723,f,fly,groom,fly,0,0,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,538661,b,pause,groom,pause,0,0,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,540192,f,fly,groom,fly,0,0,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,542333,y,ab_lift,groom,ab_lift,0,0,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,545568,h,0,timeout,timeout,0,0,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,575749,e,0,inch,inch,0,0,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,610172,d,wing_disp,inch,wing_disp,0,0,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,618032,i,turn,inch,turn,0,0,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,623985,g,0,groom,groom,0,0,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,635893,1,0,groom,groom,0,far,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,640393,w,0,walk,walk,0,far,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,642924,d,wing_disp,walk,wing_disp,0,far,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,648128,d,wing_disp,walk,wing_disp,0,far,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,656206,3,0,walk,walk,0,close,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,663300,b,pause,walk,pause,0,close,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,664707,w,0,walk,walk,0,close,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,666707,4,0,walk,walk,0,far,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,680864,g,0,groom,groom,0,far,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,693521,3,0,groom,groom,0,close,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,697489,r,0,run,run,0,close,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,700615,4,0,run,run,0,far,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,710037,w,0,walk,walk,0,far,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,744289,b,pause,walk,pause,0,far,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,747101,w,0,walk,walk,0,far,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,761258,g,0,groom,groom,0,far,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,772556,w,0,walk,walk,0,far,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,777665,g,0,groom,groom,0,far,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,803340,3,0,groom,groom,0,close,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,808715,w,0,walk,walk,0,close,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,816934,s,0,stop,stop,0,close,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,942905,w,0,walk,walk,0,close,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,948874,b,pause,walk,pause,0,close,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,950828,w,0,walk,walk,0,close,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,953672,6,0,walk,walk,0,close,chase,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,958141,4,0,walk,walk,0,far,chase,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,961875,7,0,walk,walk,0,far,chase,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,966517,g,0,groom,groom,0,far,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,987643,i,turn,groom,turn,0,far,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,988612,w,0,walk,walk,0,far,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,992847,g,0,groom,groom,0,far,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,1021770,w,0,walk,walk,0,far,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,1039146,g,0,groom,groom,0,far,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,1050631,y,ab_lift,groom,ab_lift,0,far,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,1051006,y,ab_lift,groom,ab_lift,0,far,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,1051412,y,ab_lift,groom,ab_lift,0,far,0,spider,10_26_12
