,file,sex,age,pop,humidity,rec.time,temp,time.stamp,code,event,state,strike,pred.state,chasing,file.num,date,predator
166,1_3_14,Female,3,FVW,20,1135,21,671212,w,0,walk,0,far,0,2,1_3_14,nopred
167,1_3_14,Female,3,FVW,20,1135,21,671596,f,fly,walk,0,far,0,2,1_3_14,nopred
168,1_3_14,Female,3,FVW,20,1135,21,672083,s,0,stop,0,far,0,2,1_3_14,nopred
169,1_3_14,Female,3,FVW,20,1135,21,672955,f,fly,stop,0,far,0,2,1_3_14,nopred
170,1_3_14,Female,3,FVW,20,1135,21,674659,w,0,walk,0,far,0,2,1_3_14,nopred
171,1_3_14,Female,3,FVW,20,1135,21,712034,j,jump,walk,0,far,0,2,1_3_14,nopred
172,1_3_14,Female,3,FVW,20,1135,21,713350,w,0,walk,0,far,0,2,1_3_14,nopred
173,1_3_14,Female,3,FVW,20,1135,21,721264,y,ab_lift,walk,0,far,0,2,1_3_14,nopred
174,1_3_14,Female,3,FVW,20,1135,21,724905,y,ab_lift,walk,0,far,0,2,1_3_14,nopred
175,1_3_14,Female,3,FVW,20,1135,21,727377,y,ab_lift,walk,0,far,0,2,1_3_14,nopred
176,1_3_14,Female,3,FVW,20,1135,21,728289,i,turn,walk,0,far,0,2,1_3_14,nopred
177,1_3_14,Female,3,FVW,20,1135,21,790296,d,wing_disp,walk,0,far,0,2,1_3_14,nopred
178,1_3_14,Female,3,FVW,20,1135,21,808741,i,turn,walk,0,far,0,2,1_3_14,nopred
179,1_3_14,Female,3,FVW,20,1135,21,819488,y,ab_lift,walk,0,far,0,2,1_3_14,nopred
180,1_3_14,Female,3,FVW,20,1135,21,867100,g,0,groom,0,far,0,2,1_3_14,nopred
181,1_3_14,Female,3,FVW,20,1135,21,906844,w,0,walk,0,far,0,2,1_3_14,nopred
182,1_3_14,Female,3,FVW,20,1135,21,913124,r,0,run,0,far,0,2,1_3_14,nopred
183,1_3_14,Female,3,FVW,20,1135,21,915760,s,0,stop,0,far,0,2,1_3_14,nopred
184,1_3_14,Female,3,FVW,20,1135,21,916260,f,fly,stop,0,far,0,2,1_3_14,nopred
185,1_3_14,Female,3,FVW,20,1135,21,918228,w,0,walk,0,far,0,2,1_3_14,nopred
186,1_3_14,Female,3,FVW,20,1135,21,919804,f,fly,walk,0,far,0,2,1_3_14,nopred
187,1_3_14,Female,3,FVW,20,1135,21,920057,s,0,stop,0,far,0,2,1_3_14,nopred
188,1_3_14,Female,3,FVW,20,1135,21,921364,f,fly,stop,0,far,0,2,1_3_14,nopred
189,1_3_14,Female,3,FVW,20,1135,21,922348,w,0,walk,0,far,0,2,1_3_14,nopred
190,1_3_14,Female,3,FVW,20,1135,21,923820,y,ab_lift,walk,0,far,0,2,1_3_14,nopred
191,1_3_14,Female,3,FVW,20,1135,21,924323,y,ab_lift,walk,0,far,0,2,1_3_14,nopred
192,1_3_14,Female,3,FVW,20,1135,21,925052,y,ab_lift,walk,0,far,0,2,1_3_14,nopred
193,1_3_14,Female,3,FVW,20,1135,21,925724,y,ab_lift,walk,0,far,0,2,1_3_14,nopred
194,1_3_14,Female,3,FVW,20,1135,21,934890,f,fly,walk,0,far,0,2,1_3_14,nopred
195,1_3_14,Female,3,FVW,20,1135,21,935803,w,0,walk,0,far,0,2,1_3_14,nopred
196,1_3_14,Female,3,FVW,20,1135,21,938706,y,ab_lift,walk,0,far,0,2,1_3_14,nopred
197,1_3_14,Female,3,FVW,20,1135,21,945370,y,ab_lift,walk,0,far,0,2,1_3_14,nopred
198,1_3_14,Female,3,FVW,20,1135,21,965686,i,turn,walk,0,far,0,2,1_3_14,nopred
199,1_3_14,Female,3,FVW,20,1135,21,976810,d,wing_disp,walk,0,far,0,2,1_3_14,nopred
200,1_3_14,Female,3,FVW,20,1135,21,1009431,s,0,stop,0,far,0,2,1_3_14,nopred
201,1_3_14,Female,3,FVW,20,1135,21,1010383,w,0,walk,0,far,0,2,1_3_14,nopred
202,1_3_14,Female,3,FVW,20,1135,21,1013112,y,ab_lift,walk,0,far,0,2,1_3_14,nopred
203,1_3_14,Female,3,FVW,20,1135,21,1017100,y,ab_lift,walk,0,far,0,2,1_3_14,nopred
204,1_3_14,Female,3,FVW,20,1135,21,1017678,y,ab_lift,walk,0,far,0,2,1_3_14,nopred
