,file,sex,age,pop,humidity,rec.time,temp,time.stamp,code,event,state,strike,pred.state,chasing,file.num,state.event,predator,date
234,1_4_14,Female,4,FVW,31,1048,21,972861,4,0,stop,0,far,0,2,stop,mantid,1_4_14
235,1_4_14,Female,4,FVW,31,1048,21,974661,s,0,stop,0,far,0,2,stop,mantid,1_4_14
236,1_4_14,Female,4,FVW,31,1048,21,975831,f,fly,stop,0,far,0,2,fly,mantid,1_4_14
237,1_4_14,Female,4,FVW,31,1048,21,977236,w,0,walk,0,far,0,2,walk,mantid,1_4_14
238,1_4_14,Female,4,FVW,31,1048,21,978149,f,fly,walk,0,far,0,2,fly,mantid,1_4_14
239,1_4_14,Female,4,FVW,31,1048,21,980621,w,0,walk,0,far,0,2,walk,mantid,1_4_14
240,1_4_14,Female,4,FVW,31,1048,21,981789,f,fly,walk,0,far,0,2,fly,mantid,1_4_14
241,1_4_14,Female,4,FVW,31,1048,21,982924,w,0,walk,0,far,0,2,walk,mantid,1_4_14
242,1_4_14,Female,4,FVW,31,1048,21,984132,s,0,stop,0,far,0,2,stop,mantid,1_4_14
243,1_4_14,Female,4,FVW,31,1048,21,985084,f,fly,stop,0,far,0,2,fly,mantid,1_4_14
244,1_4_14,Female,4,FVW,31,1048,21,985957,w,0,walk,0,far,0,2,walk,mantid,1_4_14
245,1_4_14,Female,4,FVW,31,1048,21,987508,f,fly,walk,0,far,0,2,fly,mantid,1_4_14
246,1_4_14,Female,4,FVW,31,1048,21,989260,s,0,stop,0,far,0,2,stop,mantid,1_4_14
247,1_4_14,Female,4,FVW,31,1048,21,990173,f,fly,stop,0,far,0,2,fly,mantid,1_4_14
248,1_4_14,Female,4,FVW,31,1048,21,994390,w,0,walk,0,far,0,2,walk,mantid,1_4_14
249,1_4_14,Female,4,FVW,31,1048,21,995341,y,ablift,walk,0,far,0,2,ablift,mantid,1_4_14
250,1_4_14,Female,4,FVW,31,1048,21,998038,y,ablift,walk,0,far,0,2,ablift,mantid,1_4_14
251,1_4_14,Female,4,FVW,31,1048,21,1001005,y,ablift,walk,0,far,0,2,ablift,mantid,1_4_14
