file.num,file,sex,age,pop,humidity,rec.time,temp,time.stamp,code,event,state,strike,pred.state,chasing,state.event,predator,date
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,203562,y,ablift,walk,0,0,0,ablift,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,204310,y,ablift,walk,0,0,0,ablift,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,204939,y,ablift,walk,0,0,0,ablift,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,207300,f,fly,walk,0,0,0,fly,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,210412,f,fly,walk,0,0,0,fly,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,214891,f,fly,walk,0,0,0,fly,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,223671,i,turn,walk,0,0,0,turn,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,224983,i,turn,walk,0,0,0,turn,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,275573,i,turn,walk,0,0,0,turn,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,281149,g,0,groom,0,0,0,groom,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,283669,w,0,walk,0,0,0,walk,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,285142,h,0,timeout,0,0,0,timeout,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,287583,w,0,walk,0,0,0,walk,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,290125,g,0,groom,0,0,0,groom,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,295924,f,fly,groom,0,0,0,fly,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,297055,w,0,walk,0,0,0,walk,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,299325,b,pause,walk,0,0,0,pause,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,300445,f,fly,walk,0,0,0,fly,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,306612,d,wingdisp,walk,0,0,0,wingdisp,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,342044,f,fly,walk,0,0,0,fly,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,348904,g,0,groom,0,0,0,groom,spider,1_4_14
